model,precision,recall,f1,pr_auc,roc_auc,accuracy,support_severe,support_total
Baseline (class_weight),0.75,0.015957446808510637,0.03125,0.26346582787127926,0.6246703114129363,0.8465979381443299,376,2425
SMOTE,0.0,0.0,0.0,0.21384975774269657,0.5868573668525384,0.8445360824742268,376,2425
