threshold,precision,recall,f1,predicted_severe_rate
0.01,0.1550515463917526,1.0,0.26847554444841126,1.0
0.02,0.1550515463917526,1.0,0.26847554444841126,1.0
0.03,0.1550515463917526,1.0,0.26847554444841126,1.0
0.04,0.1550515463917526,1.0,0.26847554444841126,1.0
0.05,0.1550515463917526,1.0,0.26847554444841126,1.0
0.060000000000000005,0.1551155115511551,1.0,0.26857142857142857,0.9995876288659794
0.06999999999999999,0.15543613063249276,1.0,0.2690518783542039,0.9975257731958763
0.08,0.15540820555325321,0.9973404255319149,0.2689135891000359,0.9950515463917525
0.09,0.15522263836870578,0.9920212765957447,0.26844188557034904,0.9909278350515464
0.09999999999999999,0.1550062840385421,0.9840425531914894,0.2678248280854144,0.9843298969072165
0.11,0.15695448745214802,0.9813829787234043,0.2706270627062706,0.9694845360824742
0.12,0.15823888404533565,0.9654255319148937,0.27191011235955054,0.945979381443299
0.13,0.15906009941256213,0.9361702127659575,0.2719196601004249,0.9125773195876289
0.14,0.1620217288615966,0.9122340425531915,0.2751704773365423,0.8729896907216494
0.15000000000000002,0.16439737771053958,0.8670212765957447,0.2763883001271725,0.8177319587628866
0.16,0.16938997821350762,0.8271276595744681,0.28119349005424954,0.7571134020618556
0.17,0.17326139088729017,0.7686170212765957,0.2827788649706458,0.6878350515463918
0.18000000000000002,0.1759628154050465,0.7047872340425532,0.281615302869288,0.6210309278350515
0.19,0.18113772455089822,0.6436170212765957,0.2827102803738318,0.5509278350515464
0.2,0.186511240632806,0.5957446808510638,0.28408370323398857,0.4952577319587629
0.21000000000000002,0.19670542635658914,0.5398936170212766,0.2883522727272727,0.42556701030927835
0.22,0.2073170731707317,0.4973404255319149,0.29264475743348983,0.37195876288659796
0.23,0.2109375,0.4308510638297872,0.28321678321678323,0.316701030927835
0.24000000000000002,0.2109375,0.35904255319148937,0.265748031496063,0.2639175257731959
0.25,0.2144212523719165,0.300531914893617,0.2502768549280177,0.21731958762886597
0.26,0.22769953051643194,0.2579787234042553,0.24189526184538654,0.1756701030927835
0.27,0.24079320113314448,0.22606382978723405,0.23319615912208505,0.14556701030927835
0.28,0.24731182795698925,0.18351063829787234,0.21068702290076335,0.11505154639175258
0.29000000000000004,0.24423963133640553,0.14095744680851063,0.178752107925801,0.08948453608247423
0.3,0.27710843373493976,0.12234042553191489,0.16974169741697417,0.06845360824742268
0.31,0.2878787878787879,0.10106382978723404,0.14960629921259844,0.05443298969072165
0.32,0.34,0.09042553191489362,0.14285714285714285,0.041237113402061855
0.33,0.2875,0.061170212765957445,0.10087719298245613,0.032989690721649485
0.34,0.3220338983050847,0.05053191489361702,0.08735632183908046,0.024329896907216497
0.35000000000000003,0.391304347826087,0.047872340425531915,0.08530805687203792,0.018969072164948454
0.36000000000000004,0.4166666666666667,0.0398936170212766,0.07281553398058252,0.014845360824742268
0.37,0.3870967741935484,0.031914893617021274,0.05896805896805897,0.012783505154639175
0.38,0.3684210526315789,0.018617021276595744,0.035443037974683546,0.007835051546391752
0.39,0.3333333333333333,0.013297872340425532,0.02557544757033248,0.006185567010309278
0.4,0.3,0.007978723404255319,0.015544041450777202,0.004123711340206186
0.41000000000000003,0.42857142857142855,0.007978723404255319,0.015665796344647518,0.00288659793814433
0.42000000000000004,0.3333333333333333,0.005319148936170213,0.010471204188481676,0.002474226804123711
0.43,0.3333333333333333,0.005319148936170213,0.010471204188481676,0.002474226804123711
0.44,0.2,0.0026595744680851063,0.005249343832020997,0.002061855670103093
0.45,0.25,0.0026595744680851063,0.005263157894736842,0.0016494845360824743
0.46,0.0,0.0,0.0,0.0008247422680412372
0.47000000000000003,0.0,0.0,0.0,0.0004123711340206186
0.48000000000000004,0.0,0.0,0.0,0.0004123711340206186
0.49,0.0,0.0,0.0,0.0004123711340206186
0.5,0.0,0.0,0.0,0.0004123711340206186
0.51,0.0,0.0,0.0,0.0004123711340206186
0.52,0.0,0.0,0.0,0.0004123711340206186
0.53,0.0,0.0,0.0,0.0004123711340206186
0.54,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0
0.56,0.0,0.0,0.0,0.0
0.5700000000000001,0.0,0.0,0.0,0.0
0.5800000000000001,0.0,0.0,0.0,0.0
0.59,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0
0.61,0.0,0.0,0.0,0.0
0.62,0.0,0.0,0.0,0.0
0.63,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0
0.67,0.0,0.0,0.0,0.0
0.68,0.0,0.0,0.0,0.0
0.6900000000000001,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0
0.7100000000000001,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.0,0.0
0.73,0.0,0.0,0.0,0.0
0.74,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
0.76,0.0,0.0,0.0,0.0
0.77,0.0,0.0,0.0,0.0
0.78,0.0,0.0,0.0,0.0
0.79,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.81,0.0,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0,0.0
0.8300000000000001,0.0,0.0,0.0,0.0
0.8400000000000001,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.86,0.0,0.0,0.0,0.0
0.87,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.0
0.89,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
