model,precision_severe,recall_severe,f1_severe,pr_auc,roc_auc,accuracy,support_severe,support_total
Baseline (class_weight),0.5833333333333334,0.018617021276595744,0.03608247422680412,0.25837526168518155,0.6260721369012389,0.8457731958762886,376,2425
SMOTE (default threshold),0.0,0.0,0.0,0.2089405555761763,0.5907500285557044,0.8445360824742268,376,2425
SMOTE + threshold override,0.20139581256231306,0.5372340425531915,0.29296591733139954,0.2089405555761763,0.5907500285557044,0.5979381443298969,376,2425
