threshold,precision,recall,f1,predicted_severe_rate
0.01,0.1550515463917526,1.0,0.26847554444841126,1.0
0.02,0.1550515463917526,1.0,0.26847554444841126,1.0
0.03,0.1550515463917526,1.0,0.26847554444841126,1.0
0.04,0.1550515463917526,1.0,0.26847554444841126,1.0
0.05,0.1550515463917526,1.0,0.26847554444841126,1.0
0.060000000000000005,0.1551795295088733,1.0,0.2686673812075741,0.9991752577319588
0.06999999999999999,0.15508684863523572,0.9973404255319149,0.2684323550465283,0.9971134020618557
0.08,0.1555371215263376,0.9973404255319149,0.2691065662002153,0.9942268041237113
0.09,0.1558982909545644,0.9946808510638298,0.26954954954954957,0.9892783505154639
0.09999999999999999,0.15578947368421053,0.9840425531914894,0.2689930934205743,0.979381443298969
0.11,0.15753424657534246,0.9787234042553191,0.2713864306784661,0.963298969072165
0.12,0.15872321818976826,0.9654255319148937,0.2726248591813744,0.9430927835051547
0.13,0.1634135270086246,0.9574468085106383,0.2791779759596743,0.9084536082474227
0.14,0.16523400191021967,0.9202127659574468,0.28016194331983807,0.8635051546391752
0.15000000000000002,0.16505840528186896,0.8643617021276596,0.2771855010660981,0.811958762886598
0.16,0.16823464305478694,0.8085106382978723,0.27851580393953274,0.7451546391752577
0.17,0.17278747742323902,0.7632978723404256,0.281786941580756,0.6849484536082474
0.18000000000000002,0.17603748326639893,0.699468085106383,0.2812834224598931,0.6160824742268042
0.19,0.18688024408848208,0.651595744680851,0.29045643153526973,0.5406185567010309
0.2,0.19507908611599298,0.5904255319148937,0.29326287978863935,0.4692783505154639
0.21000000000000002,0.20139581256231306,0.5372340425531915,0.29296591733139954,0.41360824742268043
0.22,0.20251716247139587,0.47074468085106386,0.2832,0.36041237113402064
0.23,0.20295698924731181,0.4015957446808511,0.26964285714285713,0.3068041237113402
0.24000000000000002,0.21669341894060995,0.35904255319148937,0.2702702702702703,0.2569072164948454
0.25,0.22884615384615384,0.31648936170212766,0.265625,0.21443298969072164
0.26,0.24257425742574257,0.26063829787234044,0.2512820512820513,0.1665979381443299
0.27,0.2389937106918239,0.20212765957446807,0.21902017291066284,0.1311340206185567
0.28,0.23552123552123552,0.1622340425531915,0.1921259842519685,0.10680412371134021
0.29000000000000004,0.2463768115942029,0.1356382978723404,0.17495711835334476,0.08536082474226804
0.3,0.23417721518987342,0.09840425531914894,0.13857677902621723,0.06515463917525773
0.31,0.2698412698412698,0.09042553191489362,0.13545816733067728,0.05195876288659794
0.32,0.2631578947368421,0.06648936170212766,0.10615711252653928,0.03917525773195876
0.33,0.25,0.047872340425531915,0.08035714285714286,0.029690721649484535
0.34,0.25925925925925924,0.03723404255319149,0.06511627906976744,0.0222680412371134
0.35000000000000003,0.28888888888888886,0.034574468085106384,0.06175771971496437,0.018556701030927835
0.36000000000000004,0.3125,0.026595744680851064,0.049019607843137254,0.013195876288659794
0.37,0.24,0.015957446808510637,0.029925187032418952,0.010309278350515464
0.38,0.23529411764705882,0.010638297872340425,0.020356234096692113,0.0070103092783505155
0.39,0.25,0.007978723404255319,0.015463917525773196,0.004948453608247422
0.4,0.3,0.007978723404255319,0.015544041450777202,0.004123711340206186
0.41000000000000003,0.375,0.007978723404255319,0.015625,0.0032989690721649486
0.42000000000000004,0.5,0.007978723404255319,0.015706806282722512,0.002474226804123711
0.43,0.5,0.005319148936170213,0.010526315789473684,0.0016494845360824743
0.44,0.0,0.0,0.0,0.0004123711340206186
0.45,0.0,0.0,0.0,0.0004123711340206186
0.46,0.0,0.0,0.0,0.0004123711340206186
0.47000000000000003,0.0,0.0,0.0,0.0004123711340206186
0.48000000000000004,0.0,0.0,0.0,0.0004123711340206186
0.49,0.0,0.0,0.0,0.0004123711340206186
0.5,0.0,0.0,0.0,0.0004123711340206186
0.51,0.0,0.0,0.0,0.0
0.52,0.0,0.0,0.0,0.0
0.53,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0
0.56,0.0,0.0,0.0,0.0
0.5700000000000001,0.0,0.0,0.0,0.0
0.5800000000000001,0.0,0.0,0.0,0.0
0.59,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0
0.61,0.0,0.0,0.0,0.0
0.62,0.0,0.0,0.0,0.0
0.63,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0
0.66,0.0,0.0,0.0,0.0
0.67,0.0,0.0,0.0,0.0
0.68,0.0,0.0,0.0,0.0
0.6900000000000001,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0
0.7100000000000001,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.0,0.0
0.73,0.0,0.0,0.0,0.0
0.74,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
0.76,0.0,0.0,0.0,0.0
0.77,0.0,0.0,0.0,0.0
0.78,0.0,0.0,0.0,0.0
0.79,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.81,0.0,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0,0.0
0.8300000000000001,0.0,0.0,0.0,0.0
0.8400000000000001,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.86,0.0,0.0,0.0,0.0
0.87,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.0,0.0
0.89,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
